feature,base_value,permuted_value,abs_diff
mf_pymfe_attr_conc.mean,0.13611013891278026,0.14509169515210818,0.00898155623932792
mf_pymfe_eq_num_attr,13.998122359167201,13.998122359167194,7.105427357601002e-15
mf_pymfe_ns_ratio,6.05897228397325,6.058972283973244,6.217248937900877e-15
mf_pymfe_class_conc.mean,0.21807602171257054,0.2180760217125717,1.1657341758564144e-15
mf_pymfe_attr_ent.mean,0.6000093439660106,0.6000093439660105,1.1102230246251565e-16
mf_pymfe_mut_inf.mean,0.08499953248552582,0.08499953248552586,4.163336342344337e-17
mf_pymfe_attr_to_inst,0.042316258351893093,0.042316258351893093,0.0
mf_pymfe_class_ent,1.1898338562043977,1.1898338562043977,0.0
mf_pymfe_freq_class.mean,0.2,0.2,0.0
mf_pymfe_inst_to_attr,23.63157894736842,23.63157894736842,0.0
mf_pymfe_cat_to_num,1.375,1.375,0.0
mf_pymfe_joint_ent.mean,1.7048436676848826,1.7048436676848826,0.0
mf_pymfe_nr_attr,38.0,38.0,0.0
mf_pymfe_nr_cat,22.0,22.0,0.0
mf_pymfe_nr_bin,16.0,16.0,0.0
mf_pymfe_nr_class,5.0,5.0,0.0
mf_pymfe_nr_inst,898.0,898.0,0.0
mf_pymfe_nr_num,16.0,16.0,0.0
mf_pymfe_num_to_cat,0.7272727272727273,0.7272727272727273,0.0
